P0:0.0F,P1:0.0F
P0:0.8414709848078965F,P1:0.8414709848078965F
P0:0.9092974268256817F,P1:0.9092974268256817F
P0:0.1411200080598672F,P1:0.1411200080598672F
P0:-0.7568024953079282F,P1:-0.7568024953079282F
P0:-0.9589242746631385F,P1:-0.9589242746631385F
P0:-0.27941549819892586F,P1:-0.27941549819892586F
P0:0.6569865987187891F,P1:0.6569865987187891F
P0:0.9893582466233818F,P1:0.9893582466233818F
P0:0.4121184852417566F,P1:0.4121184852417566F
P0:-0.5440211108893698F,P1:-0.5440211108893698F
P0:-0.9999902065507035F,P1:-0.9999902065507035F
P0:-0.5365729180004349F,P1:-0.5365729180004349F
P0:0.4201670368266409F,P1:0.4201670368266409F
P0:0.9906073556948704F,P1:0.9906073556948704F
P0:0.6502878401571168F,P1:0.6502878401571168F
P0:-0.2879033166650653F,P1:-0.2879033166650653F
P0:-0.9613974918795568F,P1:-0.9613974918795568F
P0:-0.750987246771676F,P1:-0.750987246771676F
P0:0.14987720966295234F,P1:0.14987720966295234F
P0:0.9129452507276277F,P1:0.9129452507276277F
P0:0.8366556385360561F,P1:0.8366556385360561F
P0:-0.008851309290403876F,P1:-0.008851309290403876F
P0:-0.8462204041751706F,P1:-0.8462204041751706F
P0:-0.9055783620066239F,P1:-0.9055783620066239F
P0:-0.13235175009777303F,P1:-0.13235175009777303F
P0:0.7625584504796027F,P1:0.7625584504796027F
P0:0.956375928404503F,P1:0.956375928404503F
P0:0.27090578830786904F,P1:0.27090578830786904F
P0:-0.6636338842129675F,P1:-0.6636338842129675F
P0:-0.9880316240928618F,P1:-0.9880316240928618F
P0:-0.404037645323065F,P1:-0.404037645323065F
P0:0.5514266812416906F,P1:0.5514266812416906F
P0:0.9999118601072672F,P1:0.9999118601072672F
P0:0.5290826861200238F,P1:0.5290826861200238F
P0:-0.428182669496151F,P1:-0.428182669496151F
P0:-0.9917788534431158F,P1:-0.9917788534431158F
P0:-0.6435381333569995F,P1:-0.6435381333569995F
P0:0.2963685787093853F,P1:0.2963685787093853F
P0:0.9637953862840878F,P1:0.9637953862840878F
P0:0.7451131604793488F,P1:0.7451131604793488F
P0:-0.158622668804709F,P1:-0.158622668804709F
P0:-0.9165215479156338F,P1:-0.9165215479156338F
P0:-0.8317747426285983F,P1:-0.8317747426285983F
P0:0.017701925105413577F,P1:0.017701925105413577F
P0:0.8509035245341184F,P1:0.8509035245341184F
P0:0.9017883476488092F,P1:0.9017883476488092F
P0:0.123573122745224F,P1:0.123573122745224F
P0:-0.7682546613236668F,P1:-0.7682546613236668F
P0:-0.9537526527594719F,P1:-0.9537526527594719F
P0:-0.26237485370392877F,P1:-0.26237485370392877F
P0:0.6702291758433747F,P1:0.6702291758433747F
P0:0.9866275920404853F,P1:0.9866275920404853F
P0:0.39592515018183416F,P1:0.39592515018183416F
P0:-0.5587890488516163F,P1:-0.5587890488516163F
P0:-0.9997551733586199F,P1:-0.9997551733586199F
P0:-0.5215510020869119F,P1:-0.5215510020869119F
P0:0.43616475524782494F,P1:0.43616475524782494F
P0:0.9928726480845371F,P1:0.9928726480845371F
P0:0.6367380071391379F,P1:0.6367380071391379F
P0:-0.3048106211022167F,P1:-0.3048106211022167F
P0:-0.9661177700083929F,P1:-0.9661177700083929F
P0:-0.7391806966492228F,P1:-0.7391806966492228F
P0:0.16735570030280691F,P1:0.16735570030280691F
P0:0.9200260381967906F,P1:0.9200260381967906F
P0:0.8268286794901034F,P1:0.8268286794901034F
P0:-0.026551154023966794F,P1:-0.026551154023966794F
P0:-0.8555199789753223F,P1:-0.8555199789753223F
P0:-0.8979276806892913F,P1:-0.8979276806892913F
P0:-0.11478481378318722F,P1:-0.11478481378318722F
P0:0.7738906815578891F,P1:0.7738906815578891F
P0:0.9510546532543747F,P1:0.9510546532543747F
P0:0.25382336276203626F,P1:0.25382336276203626F
